cpu_load,ram_usage,cpu_temp,disk_speed,disk_fill,network_bandwidth,process_count,service_state,state
18.16,1.19,34.72,588.79,13.0,6177.34,39.0,Все работают,Оптимальное
10.82,37.72,30.8,201.91,31.42,210.1,71.0,Все работают,Оптимальное
17.16,6.78,28.05,233.83,20.98,2013.6,93.0,Все работают,Оптимальное
9.97,17.61,29.01,369.05,67.81,7742.1,78.0,Все работают,Оптимальное
28.59,53.15,70.47,70.19,16.94,6312.61,91.0,Все работают,Хорошее
23.07,59.41,49.0,53.18,15.54,8445.78,198.0,Все работают,Хорошее
12.48,33.25,57.8,7.84,98.95,8318.91,258.0,Все работают,Критическое с риском отказа
75.48,78.27,98.96,659.38,27.69,9449.58,100.0,Некоторые остановлены,Критическое
10.97,18.3,35.83,642.4,24.64,6509.91,47.0,Все работают,Оптимальное
20.8,16.73,32.69,590.52,9.82,4955.28,92.0,Все работают,Оптимальное
42.47,45.02,94.9,110.08,11.77,8549.73,64.0,Некоторые остановлены,Критическое
46.39,62.08,46.24,321.79,60.57,1679.03,121.0,Все работают,Хорошее
75.97,78.09,82.23,54.07,84.89,9701.43,48.0,Некоторые остановлены,Критическое
47.32,51.26,32.09,37.79,84.25,8868.91,434.0,Некоторые остановлены,Критическое
24.75,49.69,63.68,805.24,85.6,9016.28,425.0,Все работают,Критическое
56.46,91.86,91.36,0.82,75.95,8429.23,30.0,Все работают,Критическое с риском отказа
0.24,39.53,34.33,432.42,21.93,3061.77,38.0,Все работают,Оптимальное
18.48,42.6,42.57,60.55,81.87,5156.96,33.0,Все работают,Хорошее
49.39,15.44,39.14,65.85,65.37,6886.51,169.0,Все работают,Хорошее
17.62,8.63,35.2,7.02,19.42,8511.3,168.0,Критический сервис остановлен,Критическое с риском отказа
51.9,41.74,23.48,692.79,0.89,1310.66,121.0,Все работают,Хорошее
83.14,32.28,56.57,29.85,85.72,9367.69,173.0,Некоторые остановлены,Критическое
25.76,1.84,47.61,588.64,22.53,2170.06,45.0,Все работают,Оптимальное
2.07,30.94,22.59,419.41,51.77,2946.19,99.0,Все работают,Оптимальное
16.25,0.06,23.12,532.67,49.82,7370.2,77.0,Все работают,Оптимальное
47.76,26.5,55.92,77.78,74.77,8074.69,43.0,Все работают,Хорошее
3.62,18.08,45.57,822.99,15.05,729.7,80.0,Все работают,Оптимальное
28.56,42.84,23.64,200.26,89.84,9582.32,102.0,Все работают,Критическое
57.15,71.07,103.36,8.22,98.06,9172.81,135.0,Некоторые остановлены,Критическое с риском отказа
96.47,99.41,101.75,4.19,84.84,9479.68,967.0,Некоторые остановлены,Критическое с риском отказа
17.91,2.34,43.01,172.12,37.36,4605.54,52.0,Все работают,Оптимальное
28.43,33.47,54.39,131.67,36.85,8331.73,73.0,Все работают,Хорошее
25.39,14.94,37.58,376.79,55.43,1393.62,52.0,Все работают,Оптимальное
21.86,91.27,79.55,69.19,97.18,5962.75,70.0,Все работают,Критическое
37.96,14.02,21.44,79.07,83.23,9546.02,58.0,Все работают,Критическое
0.6,2.97,24.83,390.91,30.19,1256.83,56.0,Все работают,Оптимальное
68.92,15.72,78.84,62.83,95.71,9199.67,51.0,Некоторые остановлены,Критическое
23.55,99.47,91.05,1.85,98.37,3517.92,337.0,Все работают,Критическое с риском отказа
24.25,94.27,88.84,78.97,92.45,2390.82,164.0,Некоторые остановлены,Критическое
29.16,1.71,26.06,374.17,27.17,6852.99,96.0,Все работают,Оптимальное
27.75,34.7,46.34,682.4,12.05,4945.96,80.0,Все работают,Оптимальное
0.61,11.21,49.17,356.44,18.86,1503.49,92.0,Все работают,Оптимальное
21.29,63.42,79.34,309.53,83.77,9273.98,181.0,Все работают,Критическое
28.82,13.77,28.55,229.87,45.32,5212.7,90.0,Все работают,Оптимальное
67.57,52.71,61.47,357.97,92.6,4491.66,352.0,Некоторые остановлены,Критическое
55.84,45.65,44.16,70.42,69.82,8906.91,194.0,Все работают,Хорошее
45.22,11.75,68.52,78.41,73.33,3363.78,133.0,Все работают,Хорошее
14.17,34.7,60.33,992.96,84.81,8316.38,241.0,Некоторые остановлены,Критическое
0.14,30.45,37.29,802.39,43.01,3432.2,30.0,Все работают,Оптимальное
82.71,70.45,26.79,53.87,72.51,7587.71,155.0,Некоторые остановлены,Критическое
34.95,46.85,42.02,417.26,61.36,8593.92,32.0,Все работают,Хорошее
33.71,61.06,29.03,36.5,76.28,2261.65,454.0,Все работают,Критическое
38.86,36.41,83.27,10.51,58.47,9149.14,42.0,Все работают,Критическое
31.5,34.09,60.65,863.15,70.15,2629.29,193.0,Все работают,Хорошее
12.01,65.07,95.0,14.52,97.76,3328.22,491.0,Некоторые остановлены,Критическое
25.88,36.82,33.22,682.58,68.45,3462.78,91.0,Все работают,Оптимальное
19.3,34.07,42.54,384.42,35.49,6536.83,86.0,Все работают,Оптимальное
59.42,72.57,63.93,808.44,96.57,9654.6,146.0,Некоторые остановлены,Критическое
51.5,43.42,75.05,66.43,70.69,1123.59,254.0,Некоторые остановлены,Критическое
6.47,4.31,73.17,73.16,79.88,34.7,91.0,Все работают,Хорошее
19.73,82.6,85.47,20.94,76.79,3301.96,480.0,Все работают,Критическое
29.44,28.41,37.48,887.28,56.58,3046.96,55.0,Все работают,Оптимальное
85.18,88.84,44.42,763.02,99.02,9692.94,6.0,Критический сервис остановлен,Критическое с риском отказа
60.39,85.51,118.23,41.05,76.73,9186.98,8.0,Все работают,Критическое с риском отказа
4.83,13.22,24.61,791.77,34.34,6272.25,53.0,Все работают,Оптимальное
6.64,13.24,73.76,53.44,73.61,5460.41,148.0,Все работают,Хорошее
15.43,1.75,35.42,973.9,43.89,6919.61,56.0,Все работают,Оптимальное
21.51,2.93,94.86,33.0,28.53,8433.03,45.0,Некоторые остановлены,Критическое
81.03,78.94,82.25,34.26,75.72,9473.99,269.0,Некоторые остановлены,Критическое
68.94,93.93,23.7,574.18,88.96,9211.74,282.0,Все работают,Критическое
5.44,25.79,40.15,55.92,84.27,8671.3,66.0,Все работают,Хорошее
20.8,32.31,20.14,735.22,58.81,7023.09,75.0,Все работают,Оптимальное
25.25,66.74,42.01,900.74,53.84,4412.75,146.0,Все работают,Хорошее
73.94,14.55,45.44,63.39,99.13,9735.92,520.0,Все работают,Критическое с риском отказа
1.28,15.52,21.2,727.44,58.44,3013.28,39.0,Все работают,Оптимальное
98.17,97.43,110.04,54.97,14.81,2897.78,83.0,Некоторые остановлены,Критическое с риском отказа
47.72,47.31,24.04,131.44,77.75,8878.51,127.0,Все работают,Хорошее
36.58,63.84,25.03,67.9,26.47,132.5,177.0,Все работают,Хорошее
2.8,35.88,31.11,291.13,24.54,1071.06,40.0,Все работают,Оптимальное
17.34,15.0,32.27,471.99,59.85,4895.05,82.0,Все работают,Оптимальное
47.33,65.65,33.4,277.3,82.01,3112.83,48.0,Все работают,Хорошее
7.89,85.23,112.28,7.12,44.82,8201.71,217.0,Все работают,Критическое с риском отказа
29.27,31.19,60.14,757.97,38.47,9347.48,177.0,Все работают,Критическое
5.25,20.13,95.07,37.77,99.13,7689.91,959.0,Все работают,Критическое с риском отказа
20.31,32.01,35.5,308.4,47.16,4436.41,70.0,Все работают,Оптимальное
44.97,62.06,104.14,75.09,95.13,5406.5,8.0,Все работают,Критическое с риском отказа
44.72,46.66,35.77,78.19,27.56,8457.2,70.0,Все работают,Хорошее
69.76,74.68,56.74,24.64,73.16,9365.08,343.0,Все работают,Критическое
24.12,45.88,44.17,62.65,54.97,8562.14,42.0,Все работают,Хорошее
13.5,14.44,20.6,877.98,40.38,2840.87,40.0,Все работают,Оптимальное
12.65,42.37,55.71,71.31,83.32,8413.99,46.0,Все работают,Хорошее
5.01,2.55,100.53,1.04,79.82,8229.36,726.0,Все работают,Критическое с риском отказа
19.91,54.02,63.71,623.56,77.85,8481.65,86.0,Все работают,Хорошее
30.0,11.47,67.19,58.99,78.96,1508.57,131.0,Все работают,Хорошее
42.67,11.39,85.32,17.3,79.55,9272.13,296.0,Все работают,Критическое
29.17,5.0,26.98,534.09,21.81,3709.48,40.0,Все работают,Оптимальное
5.45,33.13,31.54,758.61,32.26,3782.6,71.0,Все работают,Оптимальное
49.16,79.01,49.2,378.55,40.93,8008.93,49.0,Все работают,Критическое
27.93,14.22,23.77,983.14,51.32,2865.34,35.0,Все работают,Оптимальное
65.69,12.95,71.69,12.76,90.84,8454.08,294.0,Все работают,Критическое
49.75,74.75,94.14,34.52,79.61,4185.6,46.0,Все работают,Критическое
0.95,21.03,30.99,935.79,64.99,6408.16,83.0,Все работают,Оптимальное
75.87,90.86,48.82,747.16,87.46,9570.03,43.0,Некоторые остановлены,Критическое
23.77,82.62,88.35,47.34,82.67,8826.15,323.0,Некоторые остановлены,Критическое
43.42,61.79,62.94,59.01,73.22,8771.52,112.0,Все работают,Хорошее
56.69,10.25,52.3,72.03,72.59,298.97,199.0,Все работают,Хорошее
56.09,25.36,57.62,576.74,35.17,404.16,157.0,Все работают,Хорошее
10.09,56.44,59.96,72.86,77.32,1938.52,199.0,Все работают,Хорошее
12.71,74.76,69.24,646.92,76.61,5482.87,44.0,Некоторые остановлены,Критическое
10.3,18.0,29.96,582.71,43.61,3012.85,51.0,Все работают,Оптимальное
19.64,15.55,45.93,878.02,16.18,7230.98,53.0,Все работают,Оптимальное
37.42,54.7,30.4,68.76,56.83,8890.4,58.0,Все работают,Хорошее
51.9,47.21,74.26,31.69,78.72,9862.59,852.0,Все работают,Критическое с риском отказа
39.52,12.7,69.14,3.03,95.13,1477.97,318.0,Критический сервис остановлен,Критическое с риском отказа
4.02,87.8,71.3,54.13,2.26,9925.44,195.0,Некоторые остановлены,Критическое
26.01,87.2,60.69,742.58,77.81,8827.01,96.0,Некоторые остановлены,Критическое
95.16,11.65,115.47,16.66,93.97,6639.15,8.0,Все работают,Критическое с риском отказа
39.7,18.15,97.06,378.15,94.34,913.32,110.0,Некоторые остановлены,Критическое
31.32,22.62,79.05,787.62,21.56,9288.78,46.0,Все работают,Критическое
14.93,58.24,55.42,62.3,79.02,7057.34,106.0,Все работают,Хорошее
25.61,36.82,32.51,698.32,52.45,7451.84,71.0,Все работают,Оптимальное
68.78,27.78,63.18,37.83,86.42,9483.66,418.0,Некоторые остановлены,Критическое
15.59,32.32,49.38,102.07,55.97,3312.33,57.0,Все работают,Оптимальное
9.01,89.18,30.24,43.28,89.3,8916.16,91.0,Все работают,Критическое
83.52,99.18,88.88,611.21,99.6,8969.61,373.0,Критический сервис остановлен,Критическое с риском отказа
25.94,61.3,52.17,495.75,77.88,2993.73,199.0,Все работают,Хорошее
57.15,13.6,69.39,836.37,50.72,8713.68,69.0,Все работают,Хорошее
15.62,23.1,29.63,334.52,46.98,1259.97,95.0,Все работают,Оптимальное
58.3,45.14,63.51,106.67,26.85,8426.47,75.0,Все работают,Хорошее
32.79,72.43,61.76,872.21,96.87,8699.61,366.0,Все работают,Критическое
14.36,30.72,32.17,591.66,37.29,1908.6,91.0,Все работают,Оптимальное
17.02,6.92,23.43,379.35,12.33,4786.07,93.0,Все работают,Оптимальное
19.83,15.6,25.87,604.65,50.25,4661.82,67.0,Все работают,Оптимальное
97.03,91.53,32.95,7.12,98.87,3798.97,146.0,Критический сервис остановлен,Критическое с риском отказа
2.15,28.85,39.74,206.24,62.55,3635.15,79.0,Все работают,Оптимальное
25.4,16.43,49.35,184.11,9.95,4135.6,90.0,Все работают,Оптимальное
13.62,52.63,54.19,51.84,78.59,8808.9,92.0,Все работают,Хорошее
48.47,40.43,47.3,420.19,73.92,1446.47,40.0,Все работают,Хорошее
49.82,75.27,76.36,51.58,77.14,8379.8,442.0,Все работают,Критическое
27.82,60.35,47.53,68.31,74.05,5234.75,159.0,Все работают,Хорошее
50.18,16.45,67.14,71.76,70.51,7508.04,45.0,Все работают,Хорошее
7.6,59.16,69.23,54.86,54.4,8332.65,63.0,Все работают,Хорошее
19.36,21.63,38.42,919.6,2.44,6217.9,49.0,Все работают,Оптимальное
27.14,82.88,60.9,31.61,90.0,9121.2,370.0,Некоторые остановлены,Критическое
32.41,62.81,54.42,687.88,83.45,8084.86,117.0,Все работают,Хорошее
1.89,21.36,21.11,390.7,8.27,5928.41,34.0,Все работают,Оптимальное
67.28,70.36,97.62,642.33,95.63,3977.15,232.0,Некоторые остановлены,Критическое
59.28,33.46,37.79,53.62,11.76,8438.66,117.0,Все работают,Хорошее
62.42,37.05,85.41,56.18,91.8,8938.09,292.0,Некоторые остановлены,Критическое
42.56,45.76,45.88,788.7,3.71,5481.95,122.0,Все работают,Хорошее
13.04,1.73,24.74,553.71,50.5,3352.53,44.0,Все работают,Оптимальное
26.74,23.4,24.35,436.34,50.39,1617.69,34.0,Все работают,Оптимальное
5.14,35.46,37.34,458.76,41.41,116.03,61.0,Все работают,Оптимальное
12.53,39.65,35.93,74.29,34.67,5545.28,116.0,Все работают,Хорошее
20.07,28.13,33.91,250.15,49.27,3079.03,67.0,Все работают,Оптимальное
78.61,55.44,97.2,25.32,75.48,4486.07,72.0,Все работают,Критическое
69.61,48.31,30.36,30.06,49.69,9451.98,124.0,Все работают,Критическое
3.28,27.88,24.51,349.72,24.27,2332.13,59.0,Все работают,Оптимальное
43.74,6.87,62.11,54.45,84.34,8711.81,122.0,Все работают,Хорошее
17.24,14.79,39.97,423.08,8.5,7448.55,70.0,Все работают,Оптимальное
74.22,89.99,113.78,1.39,98.62,8445.97,37.0,Все работают,Критическое с риском отказа
2.51,69.28,62.26,46.34,90.17,9369.63,136.0,Все работают,Критическое
21.84,32.15,44.17,208.4,14.54,528.93,30.0,Все работают,Оптимальное
46.67,7.44,63.85,847.82,77.41,8026.84,63.0,Все работают,Хорошее
14.76,4.77,49.83,614.58,60.78,2985.62,50.0,Все работают,Оптимальное
1.59,25.45,21.46,552.76,41.91,6979.55,76.0,Все работают,Оптимальное
75.55,52.36,26.54,43.26,90.43,6550.76,74.0,Все работают,Критическое
21.3,8.89,29.22,982.62,5.44,340.14,95.0,Все работают,Оптимальное
9.05,31.29,25.54,52.72,84.23,8160.56,42.0,Все работают,Хорошее
29.21,36.82,84.16,27.59,87.35,8424.09,408.0,Все работают,Критическое
22.87,22.29,29.84,340.92,15.81,7879.7,38.0,Все работают,Оптимальное
13.14,5.73,42.24,414.61,14.02,1862.96,65.0,Все работают,Оптимальное
50.0,55.34,23.24,64.92,85.39,9830.31,213.0,Все работают,Критическое
18.66,26.44,55.05,65.14,84.29,8990.71,87.0,Все работают,Хорошее
35.31,54.74,41.47,67.07,77.14,3131.08,178.0,Все работают,Хорошее
3.85,32.38,31.42,992.59,3.95,1876.98,38.0,Все работают,Оптимальное
1.12,10.66,49.57,376.63,7.0,3973.85,68.0,Все работают,Оптимальное
7.95,39.85,38.74,624.52,39.65,1677.91,94.0,Все работают,Оптимальное
12.07,86.79,97.02,33.07,18.76,9934.64,467.0,Все работают,Критическое
25.32,65.81,45.38,74.71,48.08,1907.87,33.0,Все работают,Хорошее
36.06,40.87,66.11,799.66,21.97,8900.57,146.0,Все работают,Хорошее
33.36,19.86,37.99,43.29,99.87,854.51,4.0,Критический сервис остановлен,Критическое с риском отказа
16.0,21.83,48.9,517.2,1.48,5525.46,100.0,Все работают,Оптимальное
25.73,67.29,57.52,273.56,44.19,8789.32,199.0,Все работают,Хорошее
86.3,27.94,83.8,28.13,44.9,9630.16,201.0,Все работают,Критическое
4.73,31.71,61.96,239.6,72.98,8367.6,173.0,Все работают,Хорошее
59.22,61.04,60.03,1.49,98.34,9014.11,923.0,Критический сервис остановлен,Критическое с риском отказа
8.64,5.21,49.86,748.57,12.63,2321.54,87.0,Все работают,Оптимальное
14.07,60.61,68.4,52.86,23.3,7265.81,62.0,Все работают,Хорошее
29.04,10.41,46.34,371.93,18.23,7828.13,65.0,Все работают,Оптимальное
13.07,29.47,36.67,253.81,16.09,2081.79,44.0,Все работают,Оптимальное
33.37,13.98,25.42,598.19,36.82,7363.31,42.0,Все работают,Хорошее
17.71,33.48,22.43,658.09,23.06,2599.32,36.0,Все работают,Оптимальное
62.78,74.45,50.51,437.42,79.71,9120.6,194.0,Все работают,Критическое
44.69,54.29,68.91,63.02,70.61,8676.44,97.0,Все работают,Хорошее
34.46,60.53,63.08,66.53,35.75,8464.66,132.0,Все работают,Хорошее
25.29,16.65,37.62,653.91,67.67,1480.7,85.0,Все работают,Оптимальное
19.67,27.67,38.55,820.27,9.46,6527.75,56.0,Все работают,Оптимальное
62.58,54.22,24.98,966.76,82.9,9201.34,226.0,Все работают,Критическое
22.11,19.5,26.96,468.24,18.75,935.53,87.0,Все работают,Оптимальное
13.14,36.87,46.5,963.02,55.98,2259.66,46.0,Все работают,Оптимальное
28.29,9.39,30.76,702.77,56.48,911.75,58.0,Все работают,Оптимальное
23.1,34.14,47.8,965.64,54.72,6588.88,51.0,Все работают,Оптимальное
82.86,98.66,39.41,14.92,84.54,6678.51,646.0,Все работают,Критическое с риском отказа
4.55,5.52,47.54,948.24,53.91,2706.43,51.0,Все работают,Оптимальное
57.08,16.77,72.73,908.19,31.23,5579.77,138.0,Все работают,Хорошее
6.41,62.71,20.84,74.97,84.8,6732.67,180.0,Все работают,Хорошее
17.17,18.13,30.51,737.2,22.95,3634.48,82.0,Все работают,Оптимальное
13.38,23.53,46.16,996.79,57.67,3878.12,95.0,Все работают,Оптимальное
58.32,58.05,53.02,65.68,21.34,8293.98,48.0,Все работают,Хорошее
65.49,95.61,101.35,522.68,96.7,8834.46,164.0,Критический сервис остановлен,Критическое с риском отказа
62.68,79.68,83.47,757.04,96.26,9571.99,487.0,Некоторые остановлены,Критическое
28.72,88.76,78.01,48.5,73.68,9084.65,405.0,Некоторые остановлены,Критическое
43.11,65.79,56.43,578.44,72.74,2454.35,107.0,Все работают,Хорошее
11.7,16.51,31.27,266.35,35.6,2154.3,100.0,Все работают,Оптимальное
8.07,30.52,37.05,75.39,26.13,4300.29,171.0,Все работают,Хорошее
0.02,23.91,45.27,121.85,6.28,5800.59,56.0,Все работают,Оптимальное
68.19,75.27,100.32,68.26,47.09,8762.47,98.0,Все работают,Критическое с риском отказа
41.6,73.12,61.11,777.75,87.49,9808.41,93.0,Все работают,Критическое
29.53,34.8,36.55,140.13,8.92,1534.81,88.0,Все работают,Оптимальное
72.98,43.65,87.39,45.35,19.46,8316.24,142.0,Все работают,Критическое
99.17,95.82,90.65,521.57,58.84,3788.61,370.0,Все работают,Критическое с риском отказа
17.37,36.67,72.25,41.31,3.84,9065.79,486.0,Некоторые остановлены,Критическое
18.52,34.58,31.52,392.45,36.2,821.52,54.0,Все работают,Оптимальное
37.29,5.11,57.78,511.96,75.53,458.54,74.0,Все работают,Хорошее
40.25,98.0,90.4,1.62,98.99,5545.76,819.0,Все работают,Критическое с риском отказа
42.01,0.4,63.87,485.18,84.63,8197.82,63.0,Все работают,Хорошее
0.64,40.63,84.47,23.54,31.93,8660.91,233.0,Все работают,Критическое
45.98,96.59,118.42,73.69,85.69,8851.5,1.0,Критический сервис остановлен,Критическое с риском отказа
15.57,28.5,34.21,270.62,60.42,2447.99,50.0,Все работают,Оптимальное
13.34,57.52,62.81,63.53,75.51,8273.02,86.0,Все работают,Хорошее
25.28,89.65,23.56,66.38,80.13,9302.72,297.0,Некоторые остановлены,Критическое
83.1,89.58,116.44,681.76,73.41,9474.44,674.0,Критический сервис остановлен,Критическое с риском отказа
6.29,14.99,48.3,539.82,15.78,6102.73,32.0,Все работают,Оптимальное
6.13,21.38,23.26,165.78,2.24,214.71,79.0,Все работают,Оптимальное
11.06,6.87,24.71,573.54,27.23,6963.59,90.0,Все работают,Оптимальное
30.22,2.56,63.15,63.88,20.15,8700.32,178.0,Все работают,Хорошее
41.54,15.74,55.99,891.95,80.47,3290.23,39.0,Все работают,Хорошее
45.18,42.2,59.53,61.9,8.03,5362.36,159.0,Все работают,Хорошее
44.12,45.12,25.32,66.04,71.16,1227.97,127.0,Все работают,Хорошее
